iter	Passed	Remaining
1074	458487	1247512
1075	459580	1248896
1076	461085	1251394
1077	462779	1254397
1078	463283	1254170
1079	463751	1253847
1080	464271	1253662
1081	464821	1253557
1082	465355	1253408
1083	465867	1253201
1084	466378	1252988
1085	466998	1253070
1086	468337	1255074
1087	469297	1256060
1088	469769	1255737
1089	470278	1255513
1090	470868	1255505
1091	471541	1255717
1092	472089	1255592
1093	473380	1257443
1094	475385	1261183
1095	476321	1262078
1096	477488	1263580
1097	478871	1265650
1098	479432	1265545
1099	480536	1266867
1100	481186	1266993
1101	481766	1266931
1102	482608	1267557
1103	483421	1268105
1104	484111	1268328
1105	485205	1269605
1106	486208	1270642
1107	486846	1270721
1108	487373	1270512
1109	487852	1270175
1110	488846	1271176
1111	489382	1270987
1112	489955	1270890
1113	490551	1270853
1114	491159	1270846
1115	492239	1272058
1116	492863	1272089
1117	493398	1271892
1118	494237	1272474
1119	495814	1274951
1120	496400	1274876
1121	496986	1274800
1122	497470	1274463
1123	498031	1274322
1124	498584	1274160
1125	499122	1273960
1126	500039	1274724
1127	501532	1276951
1128	502195	1277063
1129	502778	1276967
1130	503388	1276941
1131	504019	1276967
1132	504574	1276800
1133	505176	1276751
1134	506755	1279166
1135	507383	1279178
1136	508021	1279212
1137	508643	1279208
1138	509725	1280355
1139	511137	1282327
1140	511657	1282059
1141	512219	1281894
1142	513774	1284212
1143	514308	1283972
1144	514789	1283601
1145	515389	1283526
1146	516950	1285840
1147	517474	1285573
1148	517971	1285236
1149	518536	1285068
1150	519077	1284840
1151	519567	1284485
1152	520130	1284312
1153	520646	1284020
1154	521588	1284778
1155	522202	1284727
1156	522753	1284519
1157	523487	1284759
1158	524974	1286843
1159	525467	1286489
1160	526245	1286831
1161	526870	1286797
1162	527426	1286592
1163	527943	1286294
1164	528438	1285942
1165	528979	1285702
1166	529558	1285551
1167	530155	1285446
1168	530748	1285329
1169	531369	1285278
1170	532750	1287063
1171	533855	1288176
1172	534589	1288392
1173	535082	1288025
1174	535647	1287832
1175	536166	1287529
1176	536768	1287424
1177	537877	1288531
1178	539306	1290401
1179	539894	1290257
1180	540469	1290079
1181	541114	1290068
1182	541980	1290583
1183	542719	1290793
1184	543260	1290531
1185	543915	1290537
1186	545196	1292028
1187	545757	1291808
1188	546310	1291571
1189	546985	1291621
1190	547561	1291436
1191	548198	1291393
1192	548787	1291237
1193	549476	1291315
1194	550023	1291060
1195	550559	1290776
1196	551089	1290479
1197	551663	1290283
1198	552409	1290491
1199	554540	1293928
1200	555267	1294083
1201	555874	1293957
1202	557232	1295576
1203	557831	1295429
1204	558395	1295199
1205	559551	1296340
1206	560527	1297060
1207	561077	1296795
1208	561611	1296491
